35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,4.5,4.5,2.25,2.25,1.125,1.125,0.5625,0.5625,0.28125,0.28125,0.140625,0.140625,0.0703125,0.0703125,0.03515625,0.03515625,0.017578125,0.017578125,0.008789063,0.008789063,0.004394531,0.004394531
11.81,12.68,1.95,5.73,-0.61,3.38,0.45,-4.73,2.46,7.27,-1.04,0.64,-4.42,-4.1,0.13,3.03,0.18,4.48,-2.34,4.73,2.98,-1.43,0,0,Pep258,ErbB2-pY735,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N 
37.53,67.19,13.18,36.87,2.46,18.4,1.27,9.51,1.36,5.55,-0.76,-5.78,-8.81,0.31,-5.69,-6.04,-6.09,-7.08,-3.39,-0.21,-3.1,-0.75,0,0,Pep258,ErbB2-pY735,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK
24.78,17.84,14.89,16.66,7.65,9.84,10.89,14.71,20.61,8.23,16.26,13.58,15.08,9.9,15.59,11.87,18.57,13.61,20.35,12.36,19.63,14.84,0,0,Pep258,ErbB2-pY735,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C
14.18,2.68,6.37,2.96,-6.48,0.06,7.05,6.51,-1.54,2.35,3.93,1.23,0.76,0.48,6.38,1.71,3.97,-2.08,1.64,6.23,1.84,-1.76,0,0,Pep258,ErbB2-pY735,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C
10.04,50.68,-4.5,12.56,-12.58,8.72,-8.97,4.59,-5.87,3.27,-12.29,0.97,-9.88,-2.09,-16.65,2.94,-7.81,3.64,-13.65,-0.58,-10.12,-1.45,0,0,Pep258,ErbB2-pY735,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A
5.9,27.38,-0.57,10.16,-10.58,1.73,1.38,8.05,-0.43,3.27,-3.75,-2.77,-10.88,-1.62,-7.21,3.48,-1.46,2.96,-7.55,-2.29,1.49,7.26,0,0,Pep258,ErbB2-pY735,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC
13.03,15.03,2.59,1.48,-5.64,4.91,-5.26,-0.93,-1.07,2.3,-1.03,1,-0.26,-7.3,-3.01,-2.98,2.76,-2.22,-0.09,-1.24,1.88,1.81,0,0,Pep258,ErbB2-pY735,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC
2.78,21.01,0.28,17.51,0.06,8.88,-6.18,-2.47,-1.41,6.04,-2.54,2.6,-7.21,1.65,3.34,3.35,1.52,3.5,-0.53,-3.94,-0.75,0.23,0,0,Pep258,ErbB2-pY735,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.66,-16.65,-4.01,-35.04,-24.32,-38.87,-17.28,-48.35,-15.44,-51.09,-25.62,-52.77,-27.41,-46.09,-25.58,-57.92,-16.11,-45.99,-19.53,-40.96,-5.91,-40.62,0,0,Pep392,ErbB3-pY823,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC
