274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,0.002441406,0.002441406,
146.74,143.38,150.32,145.25,143.51,140.99,146.09,138.42,146.43,145.01,143.49,151.6,148,146.23,142.88,139.86,147.97,157.25,146.28,141.82,153.55,149.53,150.42,145.75,Pep98,ErbB4-pY984-18mer,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,
147.33,143.48,154.56,142.06,139.79,152.81,135.15,139.51,146.94,151.68,152.26,144.41,154.16,152.19,146.89,150.35,147.34,147.6,146.96,153.63,141.31,146.62,135.75,137.98,Pep98,ErbB4-pY984-18mer,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,
160.18,135.99,152.83,147.21,143.85,146.62,148.54,144.1,141.89,151.41,146.98,148.35,147.06,140.09,146.58,155.53,147.17,148.17,148.17,139.37,148.25,145.38,147.52,150.01,Pep98,ErbB4-pY984-18mer,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,
146.89,142.75,144.83,146.58,134.74,130.54,147.47,149.26,146,147.1,144.8,153.4,141.06,142.27,146.51,151.01,145.98,156.35,144.15,146.06,144.5,155.39,148.85,141.47,Pep98,ErbB4-pY984-18mer,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,
122.48,121.02,137.6,125.64,140.54,150.04,146.92,145.68,143.54,144.46,150.33,141.02,141.33,145.51,145.53,150.32,149.65,145.51,146.46,148.39,155.05,146.56,153.95,143.36,Pep98,ErbB4-pY984-18mer,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,
128.16,129.5,123.36,128.56,148.81,139.65,149.75,145.4,143.92,151.4,149.67,148.46,148.86,149.08,149.13,147.73,153.17,153.45,145.1,146.54,144.51,149.81,155,141.21,Pep98,ErbB4-pY984-18mer,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,
141,130.95,150.93,148.24,139.04,143.08,146.79,144.3,144,147.9,156.77,141.26,146.32,149.11,148.35,144.11,151.18,143.29,145.58,136.01,149.78,150,149.95,149.14,Pep98,ErbB4-pY984-18mer,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,
149.3,133.81,143.75,144.05,126.85,153.38,144.93,153.73,150.28,142.79,146.61,147.74,148.6,143.53,141.23,146.54,146.88,148.1,141.08,148.74,149.28,148.09,147.17,134.92,Pep98,ErbB4-pY984-18mer,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,
124.82,125.88,151.2,143.2,143.26,141.77,148.83,146.88,132.56,143.59,144.82,140.86,144.67,148.88,155.76,152.81,149.13,147.34,148.39,143.08,155.01,151.87,151.14,151.68,Pep98,ErbB4-pY984-18mer,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,
128.97,150.05,143.37,148.94,144.88,146.95,141.61,155.27,143.76,141.32,147.85,151.37,144.17,147.48,147.38,142.64,149,146.94,154.38,146.6,143.7,153.55,139.22,132.71,Pep98,ErbB4-pY984-18mer,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,
