274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,0.002441406,0.002441406,
200.07,188.55,191.59,182.66,178.9,173.31,180.03,181.21,183.07,185.65,182.81,173.13,173.97,177.4,174.85,175.79,173.39,180.4,176.01,177.95,179.49,180.41,175.1,171.27,Pep538,ErbB4-pY1202,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,
181.81,183.42,180.86,183.87,178.94,177.55,176.62,174.41,178.42,176.44,179.73,171.77,173.93,176.72,180.54,171.41,179.14,172.81,179.29,177.24,181.63,177.51,180.19,173.42,Pep538,ErbB4-pY1202,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,
196.97,187.19,194.91,180.1,180.59,175.3,184.76,181.37,177.93,185.58,176.36,179.71,176.9,173.77,176.83,180.14,186.9,177.82,176.97,179.26,176.15,183.58,180.87,168.37,Pep538,ErbB4-pY1202,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,
230.38,171.02,196.25,173.45,189.58,180.54,189.43,176.23,178.25,177.05,184.52,173.38,170.55,174.5,176.93,185.53,170.17,175.79,184.69,175.94,185.27,175.95,180.3,175.71,Pep538,ErbB4-pY1202,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,
180.55,204.88,182.1,188.09,188.86,181.29,180.23,184.75,181.57,180.28,177.76,181.14,178.51,175.59,187.14,172.38,178.82,174.06,180.05,175.44,187.87,176.18,175.42,176.18,Pep538,ErbB4-pY1202,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,
174.31,176.32,176.42,179.08,173.05,175.34,180.37,181.79,182.14,176.49,182.05,170.2,175.01,172.67,181.79,177.24,183.26,186.14,175.42,174.97,183.34,176.75,177.02,167.08,Pep538,ErbB4-pY1202,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,
206.72,173.36,199.28,172.62,192.52,194.09,182.95,175.69,175.69,191.96,169.4,176.28,177.42,174.15,186.99,180.56,181.98,188.13,191.4,176.19,182.72,182.96,176.01,164.82,Pep538,ErbB4-pY1202,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,
173.66,170.12,178.36,174.5,179.27,175.68,170.83,167.8,174.62,172.43,170.71,169.09,168.84,168.17,168.74,177.14,167.51,174.38,175.64,168.49,176.05,176,168.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.03,171.35,177.23,168.5,176.42,171.32,167.33,175.83,169.81,176.09,177.54,171.81,169.77,170.14,171.81,172.09,173.48,177.79,173.83,180.06,181.79,169.62,178.42,176.11,Pep539,ErbB4-pY1221,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,
176.15,165.65,175.09,166.92,172.72,162.85,168.99,174.23,181.44,170.87,173.92,176.45,172.59,173.99,173.05,175.35,174.36,170.28,171.76,176.16,175.84,166.07,179.05,174.6,Pep539,ErbB4-pY1221,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,
177.25,172.77,175.91,154.13,158.34,168.16,177.75,172.54,167.69,172.5,168.05,168.48,167.7,171.85,174.52,170.33,174.8,175.77,177.14,169.06,179.08,171.55,175.26,174.91,Pep539,ErbB4-pY1221,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,
174.42,169.5,159.97,175.08,162.24,174.28,179.35,156.1,172.54,178.9,175.68,173.52,180.85,175.09,175.36,172.69,174.61,170.81,172.18,172.71,173.74,173.1,178.33,169.97,Pep539,ErbB4-pY1221,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,
178.03,167.35,171.88,169.2,171.16,166.24,172.49,173.09,168.99,167.23,167.76,181.68,171.43,175.97,170.41,170.91,168.92,173.39,175.8,178,172.89,176.07,172.76,175.56,Pep539,ErbB4-pY1221,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,
170.68,166.95,168.05,171.07,172.38,171.6,170.42,176.42,174.61,178.08,175.82,174.91,178.8,172.9,168.14,175.1,171.48,167.12,177.88,175.65,172.08,171.63,176.57,175.88,Pep539,ErbB4-pY1221,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,
180.16,173.49,171.69,168.07,172.39,166.64,175.55,174.2,171.26,172.24,175.03,167.1,184.32,168.52,172.26,166.66,178.82,171.93,168.12,171.54,172.93,175.92,177.33,172.79,Pep539,ErbB4-pY1221,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,
182.89,177.6,172.71,174.27,167.28,172.28,170.28,167.14,169.81,170.91,171.28,174.4,173.7,174.57,171.63,172.57,176.34,175.02,170.24,177.91,172.87,173,175.2,167.2,Pep539,ErbB4-pY1221,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,
182.61,169.62,177.4,167.33,167.05,166.78,179.03,171.61,177.71,171.99,170.04,163.2,178.3,168.76,171.35,168.47,176.11,172.6,174.15,172.21,178.06,173.12,171.65,170.17,Pep539,ErbB4-pY1221,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,
171.54,173.8,165.99,171.21,168.59,167.74,174.49,179.26,176.2,173.57,174.27,175.44,172.77,170.17,177.41,173.01,174.66,172.1,173.85,167.14,169.89,175.96,174.36,169.23,Pep539,ErbB4-pY1221,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,
177.72,161.28,177.22,172.28,173.62,169.02,176.76,176.44,169.72,174.01,175.4,169.7,173.43,177.97,170.61,168.19,178.33,162.54,172.23,172.69,182.61,177.52,174.27,166.15,Pep539,ErbB4-pY1221,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,
148.46,171.86,175.84,169.45,176.7,167.94,178.97,176.61,172.88,173.35,173.98,169.48,169.91,175.96,178.31,170.57,172.8,170.12,173.76,179.12,179.3,172.64,176.6,156.3,Pep539,ErbB4-pY1221,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,
172.39,164.38,178.23,166.91,168.85,167.09,174.18,169.76,177.51,170.62,173.41,168.38,177.35,170.4,174.76,171.74,167.27,173.82,177.87,166.75,176.83,164.16,169.27,168.82,Pep539,ErbB4-pY1221,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,
176.5,171.08,172.37,172.46,170.1,168.92,171.29,171.31,170.45,175.93,171.57,172.93,174.91,172.21,170.01,167.93,171.37,177.5,175.21,170.18,174.53,174.1,171.61,167.54,Pep539,ErbB4-pY1221,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,
169.54,169.31,178,168.67,176.06,175.52,178.04,173.22,181.57,174.93,166.53,172.44,172.96,172.81,175.55,160.53,175,174.58,174.47,172.33,177.03,170.29,175.75,170.7,Pep539,ErbB4-pY1221,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,
183.59,167.79,189.27,188.88,181.03,185.33,185.74,165.91,187.62,187.31,185.53,181.74,182.15,182.91,188.82,181.92,182.55,185.64,188.35,181.74,184.37,179.23,185.4,178.84,Pep539,ErbB4-pY1221,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,
151.17,169.34,167.42,167.3,168.18,176.16,169.74,157.26,172.74,171.76,168.7,177.87,166.78,173.78,173.37,168.12,164.87,168.27,170.22,172.25,168.62,168.47,168.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.72,181.25,177.92,170.26,179.88,175.15,175.65,175,177,174.41,177.15,177.2,177.19,184.67,170.86,176.88,184.04,179.68,178.5,175.71,187.6,177.35,175.46,182.77,Pep542,ErbB4-pY1035,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,
178.24,176.93,170.6,173.03,173.62,174.23,175.11,176.76,183.03,175.58,177.89,176.49,177.46,175.48,180.44,174.23,174.05,180.96,179.01,181.25,176.95,175.19,181.27,175.92,Pep542,ErbB4-pY1035,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,
177.22,176.9,168.62,154.3,165.27,171.1,172.02,177.54,175.38,182.34,172.88,172.31,182.8,166.5,180.96,178.79,175.67,182.63,176.01,173.99,180.96,175.38,180.21,177.39,Pep542,ErbB4-pY1035,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,
183.18,167.49,163.17,173.46,178.29,167.66,172.48,181.94,182.75,182.13,176.46,177.75,175.04,173.21,178.19,177.4,175.85,184.4,175.36,177.11,175.67,184.24,178.31,176.92,Pep542,ErbB4-pY1035,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,
173.85,164.32,175.76,176.39,171.46,173.56,173.36,174.53,179.64,179.73,177.02,174.3,176.2,181.06,175.23,176.34,183.63,181.74,181.94,168.99,183.32,174.77,183.5,179.2,Pep542,ErbB4-pY1035,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,
180.01,169.59,172.13,175.07,178.27,174.17,182.87,182.34,184.6,174.95,178.69,180.55,178.07,179.19,181.23,177.39,180.08,174.72,181.52,181.33,178.06,177.05,176.8,183.38,Pep542,ErbB4-pY1035,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,
176.57,161.83,178.96,165.87,171.82,160.68,177.78,177.91,179.29,177.36,176.83,179.15,178.03,173.01,179.47,176.55,178.87,179.09,174.22,179.34,183.41,172.34,180.05,173.44,Pep542,ErbB4-pY1035,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,
167.68,181.4,173.23,173.19,169.94,179.94,175.12,174.33,173.9,172.14,172.75,179.45,176.82,177.84,181.83,173.97,170.65,178.64,179.58,174.63,173.12,172.56,179.22,172.47,Pep542,ErbB4-pY1035,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,
182.84,164.85,181.35,169.35,169.47,180.18,177.76,178.88,178.74,180.09,168.84,175.64,177.8,176.12,169.13,181.34,183.43,179.22,180.97,177.94,179.83,176.74,176.83,177.26,Pep542,ErbB4-pY1035,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,
164.69,190.05,172.97,180.89,175.24,179.65,176.41,183.49,175.69,177.4,177.7,180.15,186.79,169.61,180.1,175.61,177.52,184.05,177.82,170.48,172.5,178.01,174.47,180.46,Pep542,ErbB4-pY1035,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,
163.66,171.81,184.25,169.8,179,173.08,178.81,175.01,181.98,176.37,176.78,174.05,180.04,181.99,174.21,179.73,182.68,153.39,174.4,180.59,187.85,172.68,173.31,168.84,Pep542,ErbB4-pY1035,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,
168.83,166.64,171.66,183.98,177.79,174.63,176.79,181.7,165.79,178.65,175.47,173.77,172.23,179.78,181.5,173.82,174.5,177.17,178.65,177.42,174.43,177.06,181.82,162.49,Pep542,ErbB4-pY1035,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,
181.47,170.37,177.14,175.39,177.22,164.33,177.22,177.82,171.01,176.02,175.06,168.18,179.96,175.29,179.58,177.13,176.18,176.42,180.15,168.67,176.65,177.56,178.95,170.13,Pep542,ErbB4-pY1035,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,
180.31,175.54,179.53,165.06,174.01,172.81,175.58,183.95,164.78,178.48,178.37,175.04,179.55,159.37,172.7,178.94,172.37,178.66,175.21,173.66,174.78,175.87,173.68,170.06,Pep542,ErbB4-pY1035,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,
185.87,164.02,185.34,173.93,174.16,167.38,181.65,165.88,178.86,178.15,172.73,167.05,172.5,161.17,183.23,174.67,183.21,176.18,176.62,176.51,178.99,170.56,174.08,164.09,Pep542,ErbB4-pY1035,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,
188.2,179.96,195.11,184.9,185.88,186.63,173.13,185.77,192.57,186.4,183.43,189.9,188.86,191.73,188.35,183.45,184.13,184.33,182.18,184.92,188.3,181.53,185.35,178.13,Pep542,ErbB4-pY1035,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,
178.99,176.99,175.46,173.13,176.06,176.27,174.31,173.66,180.34,181.42,176.87,174.41,174.55,177.43,174.83,176.15,173.95,174.76,171.53,178.44,178.6,176.75,160.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323.83,215.69,310.57,203.95,263.52,203.14,246.74,214.87,236.83,207.18,220.53,204.02,216.56,204.32,213.29,208.26,209.54,211.44,209.5,213.31,209.55,207.16,216.75,218.06,Pep544,ErbB4-pY733,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,SHC1,SHE,
209.95,214.71,212.95,211.33,206.44,203.7,209.05,209.81,204.99,210.49,206.95,200.08,205.92,210.87,212.91,209.71,211.27,209.69,214.27,207.71,213.92,214.17,204.01,214.24,Pep544,ErbB4-pY733,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,PTK6,GRB14,
289.25,216.26,261.37,206.35,246.6,211.45,234.91,202.84,226.98,211.6,221.98,209.78,210.34,205.58,209.22,205.46,207.87,206.82,210.57,210.67,212.55,205.4,214.34,211.94,Pep544,ErbB4-pY733,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,SHC3,BLNK,
203.8,213.28,208.48,204.72,207.14,208.73,209.55,207.61,211.19,207.83,211.68,211.92,209.68,195.95,215.07,213.26,210.62,210.1,198.77,210.84,208.86,214.16,207.08,216.5,Pep544,ErbB4-pY733,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,TENC1,DAPP1,
214.41,215.22,201.79,212.08,212.72,215.18,208.15,207.98,209.91,213.54,205.31,215.13,205.87,204.59,210.77,211.36,207.04,212.66,206.73,204.37,205.27,205.01,207.31,216.3,Pep544,ErbB4-pY733,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,ABL1,MATK,
231.23,212.61,209.63,207.87,208.9,207.53,213.76,210.68,206.57,214.11,208.69,211.05,206.02,204.17,211.06,206.25,211.72,210.33,210.46,215.62,205,206.52,208.82,216.33,Pep544,ErbB4-pY733,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,SLA2,SH2D3A,
210.29,236.55,206.3,221.02,202.9,211.35,212.63,210.54,201.32,205.52,218.29,211.14,210.57,207.25,203.77,200.44,210.37,207.44,204.24,203.36,210.56,217.73,218.8,212.15,Pep544,ErbB4-pY733,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,BRDG1,FER,
218.78,205.65,202.99,207.74,216,208.1,207.47,213.85,205.41,202.87,209.33,200.48,210.81,213.31,206.1,205.84,205.76,210.89,202.77,217.6,214,208.01,214.13,209.8,Pep544,ErbB4-pY733,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,CRKL,GRB7,
238.14,216.93,209.33,195.95,205.76,202.72,213.74,209.43,208.64,210.8,200.53,203.73,208.92,206.2,212.03,206.64,203.61,207.16,205.95,204.46,208.02,196.36,213.84,207.47,Pep544,ErbB4-pY733,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,LCP2,SHD,
216.47,295.5,202.87,305.28,203.01,296.86,209.07,291.25,210.47,292.74,211.81,278.43,207.23,241.57,208.02,220.74,212.37,207.1,209.02,210.53,210.76,209.36,212.95,205.12,Pep544,ErbB4-pY733,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,TXK,SH2D1B,
207.36,217.31,206.65,212.64,205.35,206.35,213.94,207.48,209.44,209.65,209.6,204.82,211.79,204.95,211.97,206.8,218.82,198,207.66,206.51,207.6,212.27,206.35,214.88,Pep544,ErbB4-pY733,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,RASA1-C,BTK,
227.08,279.55,213.7,264.48,207.92,239.75,211.14,223.83,210.59,220.97,201.86,202.8,207.89,210.81,209.44,198.39,207.78,208.05,203.99,203.92,208.42,205.63,203.91,198.49,Pep544,ErbB4-pY733,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,HSH2D,SH2D1A,
214.08,207.29,203.69,208.76,209.3,210.82,204.09,208.75,208.85,207.11,211.55,211.85,210.16,203.25,206.97,203.67,208.4,206.44,205.73,213.36,215.14,206.58,216.57,201.66,Pep544,ErbB4-pY733,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,SH3BP2,SHF,
222.01,212.86,208.12,212.18,208.35,199.27,208.18,208.12,211.08,205.4,209.75,202.41,204.7,205.9,205.79,210.53,206.35,201.23,210.79,206.8,209.75,209.09,208.2,204.69,Pep544,ErbB4-pY733,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,PLCG2-N,LNK,
220.34,202.82,213.88,203.38,210.28,211.61,217.37,214.65,214.93,216.19,207.65,204.58,205.69,206.04,210.43,208.2,213.7,214.9,211.4,203.78,207.74,209.13,216.15,223.28,Pep544,ErbB4-pY733,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,BCAR3,PTPN6-C,
220.48,219.9,229.41,224.74,215.54,223.84,224.52,228.89,228.1,231.83,213.39,218.31,220.02,217.61,219.47,217.41,221.2,216.8,224.74,226.42,219.4,216.43,222.05,214.75,Pep544,ErbB4-pY733,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,HCK,BMX,
202.11,214.43,192.06,219.74,212.4,200.1,209.6,212.69,205.32,204.52,206.59,204.3,206.87,209.3,214.46,205.84,214.68,203.14,209.56,203.95,218.78,209.24,210.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
