306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,
184.57,185.34,187.83,189.92,183.38,181.92,170.58,185.11,186.15,186.21,183.82,185.02,182.19,179.53,190.49,177.97,178.28,177.39,179.11,184.81,181.61,182.22,176.89,168.01,Pep475,ErbB2-pY1023,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,,
173.08,225.48,184.29,217.96,178.99,210.06,185.17,193.71,176.31,183.97,189.54,183.1,186.6,198.27,174.99,190.29,188.42,177.97,183,193.54,186.99,181.39,185.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.64,191.52,184.36,191.72,187.71,176.16,181.84,170.17,193.06,189.92,180.77,175.93,183.25,184.45,189.29,180.06,190.32,186.42,185.41,184.75,180.46,185.87,172.47,190.19,Pep476,ErbB3-pY1054,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,,
188.14,187.94,185.35,179.49,189.24,181.29,185.57,182.68,181.63,186.42,182.77,189.6,173.48,182.26,181.91,185.71,185.39,168.58,184.9,182.9,178.18,181.5,182.83,172.76,Pep476,ErbB3-pY1054,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,,
189.02,175.93,184.8,184.4,182.12,177.36,182.44,179.42,180.27,183.17,181.28,174.89,180.68,180.38,183.94,179.26,167.32,180.99,183.4,180.58,179.9,180.57,176.01,180.1,Pep476,ErbB3-pY1054,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,,
190.21,197.16,182.29,183.43,178.58,180.58,183.53,186.91,179.07,177.98,188.71,191.06,187.57,182.78,171.28,184.82,181.4,190.64,175.56,171.38,184.41,189.19,184.71,180.3,Pep476,ErbB3-pY1054,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,,
205.15,179.85,197.26,171.27,182.24,181.47,179.1,167.12,184.93,179.8,180.92,186.14,181.67,177.18,188.15,174.31,179,181.1,182.35,173.88,185.65,180.33,182.99,197.54,Pep476,ErbB3-pY1054,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,,
183.06,176.69,179.27,174.6,173.08,176.51,181.23,174.44,178.28,184.57,176.28,176.53,186.28,173.42,192.65,179.96,187.94,179.33,181.38,179.34,185.81,190.62,175.21,183.26,Pep476,ErbB3-pY1054,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,,
184.01,174.58,176.19,175.79,177.14,176.51,160.91,158.6,178.23,183.91,176.91,168.04,179.17,171.49,175.39,169.21,171.21,177.83,170.65,170,185.23,179.93,178.49,183.46,Pep476,ErbB3-pY1054,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,,
186.35,188.11,173.99,180.27,173.13,180.75,179.78,177.44,180.27,180.91,157.56,162.53,183.02,176.67,167.83,176.65,183,185.18,185.43,177.18,190.42,179.82,181.81,188.03,Pep476,ErbB3-pY1054,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,,
194.71,179.71,182.05,171.46,169.64,169.5,183.54,174.71,162.75,175.31,177.85,173.36,168.9,176.73,179.81,169.23,181.38,174.73,173.35,181.76,178.28,170.69,175.56,183.39,Pep476,ErbB3-pY1054,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,,
182.72,183.46,187.94,179.68,181.81,177.84,183.65,180.77,177.19,178.49,178.23,173.74,176.17,176.23,185.92,183.32,186.03,175.29,176.56,180.61,178.05,192.63,176.34,176.34,Pep476,ErbB3-pY1054,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,,
188.48,184.77,179.71,179.96,177.15,184.87,179.45,183.16,185.47,180.13,156.94,158.59,182.23,182.59,171.58,178.91,175.28,180.51,171.89,177.02,185.63,178.32,177.81,185.48,Pep476,ErbB3-pY1054,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,,
193.99,176.61,184.31,185.23,183.47,180.3,182.36,177.32,177.62,186.05,159.2,173.68,181.22,184.45,183.81,183.48,184.19,176.81,182.06,178.35,179.17,182.01,177.02,168.46,Pep476,ErbB3-pY1054,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,,
186.05,176.16,182.31,176.42,172.83,174.57,176.61,183.96,183.59,171.29,180.78,178.26,181.97,175.37,172.02,176.7,183.73,175.11,177.96,175.4,180.69,176.17,183.42,189.4,Pep476,ErbB3-pY1054,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,,
188.03,161.72,184.28,179.06,191.8,177.9,181.25,182.55,190.62,173.76,181.15,180.44,178.18,175.37,177.34,172.48,183.76,185.74,178.93,179.55,173.75,179.46,187.41,179.34,Pep476,ErbB3-pY1054,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,,
170.27,188.94,166.53,167,185.52,185.4,187.6,171.38,186.24,174.37,184.22,181.17,178.54,185.7,181.97,186.08,182.51,176.61,184.09,173.89,173.24,169.88,188.47,179.43,Pep476,ErbB3-pY1054,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,,
195.66,177.66,194.19,195.62,192.03,187.56,179.6,182.45,186.32,185.75,187.4,193.43,181.73,177.9,189.53,184.53,186.72,182.68,188.13,181.01,177.34,177.88,177.15,165.59,Pep476,ErbB3-pY1054,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,,
190.23,193.93,174.76,198.5,181.67,189.53,174.71,190.42,187.31,184.29,190.18,178.02,191.07,189.57,188.87,191.14,179.53,186.7,184.15,191.11,189.38,191.01,206.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179.64,195.36,180.27,164.66,174.56,168.44,175.31,160.49,167.08,179.52,192.14,181.62,179.87,172.03,176.22,172.83,177.46,174.15,169.11,163.32,178.73,175.63,172.07,184.73,Pep477,ErbB4-pY1162,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,,
187.15,180.92,178.63,178.15,173.05,189.71,184.4,173.85,183.22,180.23,182.18,181.69,170.56,169.23,170.69,175.98,186.06,177.23,176.61,182.51,171.92,183.86,184.25,178.22,Pep477,ErbB4-pY1162,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,,
173.06,175.22,187.75,171.71,181.96,171.27,180.19,168.98,175.56,180.73,171.8,175.82,176.65,178.48,173.42,174.1,171.62,174.22,176.91,167.74,179.02,187.8,166.62,182.54,Pep477,ErbB4-pY1162,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,,
176.45,195.73,173.7,186.66,175.32,176.41,180.98,174.46,174.53,171.08,175.94,176.8,176.16,168.06,178.23,171.94,172.64,183.76,171.8,178.42,178.56,181.66,170.81,175.78,Pep477,ErbB4-pY1162,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,,
191.24,178.05,175.95,173.51,179.61,183.01,170.89,186.06,176.02,176.99,181.25,176.02,178.37,178.68,184.11,178.03,172.88,183.26,175.2,174.13,174.76,177.69,170.9,172.6,Pep477,ErbB4-pY1162,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,,
186.26,184.08,179.78,177.18,177.19,174.13,171.94,176.22,173.24,174.74,176.08,184.54,175.29,173.41,176.24,187.29,173.4,173.56,179.56,177.48,170.07,176.94,173.11,175.31,Pep477,ErbB4-pY1162,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,,
191.41,205.58,172.94,187.68,180.29,183.66,182.86,165.22,180.22,181.58,170.49,161.95,177.38,167.9,173.73,177.72,180.69,168.3,177.02,170.53,167.37,179.34,171.56,175.8,Pep477,ErbB4-pY1162,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,,
183.44,176.74,176.34,174.51,182.31,175.78,181.93,160.42,183.78,181.36,177.08,172.3,176.7,175.79,176.64,172.56,173.26,175.37,175.16,170.96,175.27,173.38,176.13,175.57,Pep477,ErbB4-pY1162,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,,
189.01,178.34,185.51,166.55,175.81,172.25,176.28,172.47,174.31,182.59,174.26,171.35,184.32,163.88,172.67,174.2,173.25,167.6,168.85,167.2,179.37,179.67,172.28,174.11,Pep477,ErbB4-pY1162,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,,
185.86,188.76,176.92,178.47,176.75,172.65,170.66,173.54,164.94,176.46,173.71,165.99,181.21,174.65,174.49,178.49,175.18,169.23,172.24,187.31,177.47,184.42,183.4,169.91,Pep477,ErbB4-pY1162,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,,
181.65,178.59,180.83,171.52,178.28,173.06,168.81,172.18,177.32,173.22,173.51,162.4,179.95,176.77,175.22,175.24,165.34,173.38,168.84,169.28,172.65,173.98,180.28,175.61,Pep477,ErbB4-pY1162,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,,
172.37,172.39,178.95,172.23,179.06,170.66,168.96,164.43,176.65,175.11,182.48,168.62,168.02,177.89,173.11,185.22,171.01,172.8,177.47,172.29,172.88,183.11,179.1,160.79,Pep477,ErbB4-pY1162,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,,
183.22,179.05,171.24,166.23,173.28,173.83,174.16,176.55,173.59,167.74,166.53,180.64,178.98,171.63,175.98,169.87,170.68,176.23,176.26,168.57,177.92,178.89,175.19,174.82,Pep477,ErbB4-pY1162,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,,
180.69,189.33,187.77,179.13,183.61,180.57,172.56,177.24,177.81,181.09,177.96,174.96,169.63,176.89,173.48,178.98,175.77,174.14,173.58,173.4,176.68,166.42,176.22,179.2,Pep477,ErbB4-pY1162,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,,
165.09,180.54,171.79,171.88,170.47,175.99,180.52,178.93,176.39,177.76,171.58,171.92,175.97,176.29,170.3,178.34,170.72,177.81,178.02,172.72,170.49,179.14,177.37,177.74,Pep477,ErbB4-pY1162,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,,
184.57,186.21,188.5,187.14,186.6,181.99,178.85,182.96,197.1,179.23,181.28,182.25,179.97,182.43,187.26,180.62,175.87,187.78,177.75,181.26,186.72,182.34,198.05,190.31,Pep477,ErbB4-pY1162,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,,
189.15,202.36,177.67,188.19,172.82,181.6,178.77,172.19,177.3,184.7,182.86,171.38,172.11,162.83,153.68,181.7,184.24,184.74,185.82,186.3,179.61,182.19,186.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.92,185.07,210.24,179.31,196.38,190.3,192.77,185.63,178.16,189.52,184.77,185.58,188.12,184.23,192.05,175.1,197.5,175.09,184.47,187.24,173.24,193.02,191.23,177.67,Pep478,ErbB1-pY1197,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,,
251.05,184.06,216.49,191.58,206.07,165.92,193.36,191.24,189,187.25,183.62,168.71,189.71,188.31,194.03,193.15,175.83,169.17,187.52,170.96,169.05,182.1,195.96,185.53,Pep478,ErbB1-pY1197,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,,
267.12,172.44,230.04,166.99,210.51,164.59,188.27,162.52,179.72,171.03,184.1,184.42,183.97,170.18,187.16,164.8,187.58,175.41,193.64,167.9,169.87,183.8,168.94,180.68,Pep478,ErbB1-pY1197,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,,
191.56,188.67,180.56,194.56,180.9,186.47,188.3,188.72,166.35,153.3,169.51,182.84,182.51,184.32,182.01,177.33,163.74,173.4,165.79,167.85,176.55,174.32,185.12,178.32,Pep478,ErbB1-pY1197,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,,
202.01,181.76,195.08,194.51,182.05,185.39,202.8,163.2,190.43,182.51,174.47,175.31,191.34,186.01,181.78,192.4,175.79,166.53,189.57,174.48,173.36,190.76,171.26,188.89,Pep478,ErbB1-pY1197,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,,
173.27,177.19,183.99,176.98,187.61,180.7,177.24,165.64,175.41,173.11,171.66,141.12,169.42,180.5,178.19,185.15,176.45,186.39,170.25,185.08,169.44,186.95,183.4,166.62,Pep478,ErbB1-pY1197,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,,
192.48,185.76,184.71,183.78,182.39,174.65,162.39,158.95,181.7,167.66,149.19,176.98,171.1,165.75,189.95,184.37,171.08,177.58,190.42,162.31,174.83,187.85,178.51,183.83,Pep478,ErbB1-pY1197,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,,
212.88,198.71,199.95,196.91,171.19,179.28,140.99,158.48,174.11,185.41,154.68,165.39,183.89,166.53,173.48,167.3,173.02,170.54,179.73,175.95,175.77,172.97,179.15,165.67,Pep478,ErbB1-pY1197,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,SHC4,SHC3,,
201.49,175.43,184.31,181.65,186.99,186.34,174.39,187.34,170.45,181.02,179.11,177.92,187.7,177.46,179,170.38,187.89,168.9,185.95,164.28,191.39,186.98,170.08,185.61,Pep478,ErbB1-pY1197,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,MATK,DAPP1,,
176.08,173.43,192.64,167.1,176.61,184.54,168.49,175.07,170.03,172.2,189.19,165.57,174.93,166.76,176.52,174.36,152.93,177.9,176.81,167.02,167.69,184.55,179.75,190.76,Pep478,ErbB1-pY1197,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,BLNK,PLCG2-N,,
191.71,168.06,183.22,148.63,175.05,169.52,179,169.93,178.22,184.54,179.91,145.78,178.42,174.54,185.81,178.16,175.03,185.36,178,161.72,175.58,160.01,172.39,194,Pep478,ErbB1-pY1197,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,BTK,SH2D3A,,
235,179.96,217.15,180.1,201.75,182.47,183.87,172.68,194.59,186.93,144.75,161.69,167.07,169.17,160.56,172.04,168.36,170.73,185.32,172.04,182.08,178.1,193.75,167.33,Pep478,ErbB1-pY1197,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,BRDG1,SHD,,
177.94,164.56,176.8,179.17,169.42,183.92,184.1,176.54,171.03,174.83,184.55,186.62,176.23,187.24,186.41,175.64,180.9,182.55,192.32,182.06,191.58,172.74,173.35,186.61,Pep478,ErbB1-pY1197,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,SHF,GRB14,,
193.51,186.07,178.74,162.75,189.26,174.04,183.63,169.57,178.77,163.63,174.56,168.04,185.3,164.33,188.35,175.05,174.39,170.47,167.16,178.75,177.03,171.43,168.85,188.14,Pep478,ErbB1-pY1197,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,ABL1,SH3BP2,,
180.73,187.82,177.48,179.41,186,185.69,184.33,168.41,173.65,187.64,171.21,180.45,176.48,174.5,183.85,184.65,175.94,179.64,166.3,174.21,188.16,159.62,187.78,169.32,Pep478,ErbB1-pY1197,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,ITK,GRB7,,
207.11,193.99,183.86,174.71,190.94,196.1,176.59,161.59,191.39,190.6,192.65,194.37,186.04,191.42,185.47,193.59,180.61,189.71,181.52,185.87,185.71,198.85,193.8,181.67,Pep478,ErbB1-pY1197,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,BCAR3,TXK,,
169.58,189.72,175.28,188.81,172.18,184.95,175.81,174.18,174.57,179.14,157.39,186.3,172.4,186.81,163.35,182.87,174.71,179.24,185.32,187.8,171.44,169.91,205.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181.91,166.78,162.5,170.2,167.32,163.94,170.13,160.99,172.1,164.29,160.81,167.08,174.42,167.04,165.64,169.16,170.08,167.98,159.92,170.17,164.34,165.59,156.17,165.55,Pep479,ErbB2-pY1196,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,SHC1,TENC1,,
181.14,171.83,176.14,176.01,167.92,157.6,172.21,176.47,170.05,171.81,166.69,171.42,179.9,173.66,168.22,166.96,165.54,168.16,168.09,168.46,167.69,164.11,168.2,163.02,Pep479,ErbB2-pY1196,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,SH2D1B,SLA2,,
171.59,166.3,161.97,160.8,163.12,161.81,172.74,170.41,174.95,167,161.28,162.54,170.65,172.25,173.24,179.7,170.67,179.99,172.87,162.24,168.28,161.49,162.96,162.74,Pep479,ErbB2-pY1196,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,LNK,CRKL,,
174.25,176.97,163.92,165.52,170.36,181.81,169.63,165.95,169.55,177.45,186.66,166.52,162.64,165.15,173.58,172.53,179.23,161.55,166.02,168.39,170.08,167.91,169.37,159.87,Pep479,ErbB2-pY1196,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,LCP2,SH2D1A,,
194.45,189.92,186.39,169.36,171,165.26,179.34,170.43,179.19,169.75,162.42,165.48,174.66,170.2,172.37,167.3,170.07,167.97,162.07,157.71,159.2,169.04,163.78,167.09,Pep479,ErbB2-pY1196,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,YES1,HCK,,
180.95,189.49,174.49,180.99,162.3,172.15,161.28,171.49,173.55,167.62,172.98,161.46,169.6,161.9,165.03,178.42,168.87,161.99,167.38,158.45,169.5,161.96,166.6,173.88,Pep479,ErbB2-pY1196,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,FER,RASA1-C,,
174.05,174.93,173.96,177.86,162.14,155.89,164.89,158.88,167.63,176.23,158.15,181.98,162.15,158.61,170.6,158.28,171.81,162.91,161.86,171.75,165.33,162.88,159.61,162.53,Pep479,ErbB2-pY1196,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,SHE,HSH2D,,
