306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,
142.37,136.62,153.34,138.13,146.47,144.83,146.28,143.51,158.22,151.81,134.76,142.48,139.63,158.69,147.8,140.02,138.24,138.94,142.05,124.97,144.1,138.69,149.78,154.01,Pep98,ErbB4-pY984-18mer,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,,
138.57,169.16,137.83,151.25,149,157.04,155.73,147.25,145.06,152.34,151.22,143.22,137.1,152.48,150.52,150.67,145.92,152.2,141.35,141.82,146.14,146.96,145.8,146.3,Pep98,ErbB4-pY984-18mer,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,,
152.13,142.8,141.4,127.27,149.85,141.57,138.49,129.85,147.92,150.35,140.27,149.6,146.93,135.58,137.97,142.97,136.47,151.69,148.37,147.33,145.16,140.53,144.23,140.67,Pep98,ErbB4-pY984-18mer,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,,
141.26,136.96,144.41,141.07,138.76,141.76,154.32,141.82,142.34,143.01,140.95,149.06,146.6,148.51,144.07,147.45,145.37,150.18,147.35,138.88,146.67,160.23,137.7,151.28,Pep98,ErbB4-pY984-18mer,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,,
147.44,148.77,143.64,145.01,131.01,145.65,139.5,138.95,123.52,150.93,152.6,141.77,147.54,143.68,147.35,146.68,150.8,141.59,142.65,145.06,144.06,145.4,147.2,157.06,Pep98,ErbB4-pY984-18mer,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,,
148.17,144.33,153.24,142.14,147.09,135.84,140.97,133.42,148.51,148.96,145.04,144.99,140.48,141.71,153.97,139.67,143.87,145.73,145.64,133.55,141.41,138.45,145.34,123.56,Pep98,ErbB4-pY984-18mer,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,,
135.24,154.31,143.08,144.91,137.67,142.79,142.78,144.24,144.07,147.62,149.93,142.21,149.71,139.21,145.54,153.87,148.02,145.88,140.77,136.55,140.49,137.87,152.65,153.08,Pep98,ErbB4-pY984-18mer,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,,
153.68,160.45,142.85,150.21,154.64,149.59,151.89,141.51,139.17,144.62,142.61,153.47,136.88,138.18,150.51,137.87,159.7,146.74,157.13,142.57,144.17,133.17,146.98,152.8,Pep98,ErbB4-pY984-18mer,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,,
139.93,154.77,146.38,149.66,142.18,149.3,149.29,147.86,144.06,159.79,166.93,150.19,151.24,158.96,151.22,148.8,147.99,146.44,151.93,143.45,145.12,136.16,144.84,135.02,Pep98,ErbB4-pY984-18mer,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,,
171.53,154.87,166.68,159.87,141.08,154.9,145.57,159.8,160.11,148.41,169.84,142.43,144.59,144.16,145.54,147.02,145.05,132.74,146.25,165.59,142.74,156.84,162.77,158.75,Pep98,ErbB4-pY984-18mer,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,,
